"","bowler","adj_avg_bowl_rd","adj_bowl_rd","balls","avg_bowl_rd","total_bowl_rd","econ","bat_adj_bowl_avg","adj_bowl_avg","wickets","strike_rate","bowl_average"
"123","Shahbaz Ahmed",0.698007862362346,29.3163302192185,42,0.799507477797993,33.5793140675157,13.5714285714286,1.26464270591233,1.53449380922272,1,226.190476190476,95
"124","AD Russell",0.329905248689571,30.0213776307509,99,0.252701402555328,22.9958276325348,11.3406593406593,-0.254074337770426,-0.241911612029261,7,165.656565656566,23.4285714285714
"125","Kartik Tyagi",0.819978601634636,30.3392082604815,44,0.902755806634855,33.4019648454896,14.9189189189189,1.12442716372316,1.51218056783436,1,193.181818181818,85
"126","JD Unadkat",0.6645093542134,31.8964490022432,52,0.566154673928184,27.1754243485528,11.5,2.32207573680403,2.78959415452571,0,161.538461538462,84
"127","Mohsin Khan (2)",0.533818159327087,32.0290895596252,64,0.44270305498866,26.5621832993196,10.7,0.363838993869194,0.347944743055019,3,160.9375,34.3333333333333
"128","Akash Singh",0.281199331265154,32.0567237642276,117,0.329383359472604,37.5497029798768,9.89473684210526,0.196800989215801,0.233112593529599,5,158.119658119658,37
"129","Arshad Khan (2)",0.421076818443028,35.7915295676574,97,0.577315889453736,49.0718506035676,13.4117647058824,-0.0582889513095017,0.0694077392353363,5,181.443298969072,35.2
"130","CJ Jordan",0.282458142442181,37.2844748023678,140,0.157248712145723,20.7568300032354,10.7727272727273,1.22705664237809,1.56989940883375,3,162.857142857143,76
"131","KV Sharma",0.302528523519831,39.0261795340583,132,0.36325703582858,46.8601576218868,10.3720930232558,-0.349395992668311,-0.274185659680621,10,166.666666666667,22
"132","HV Patel",0.151379209363717,42.6889370405681,302,0.0132173739369208,3.72729945021167,9.65957446808511,-0.000755288721060488,0.0885700124985359,14,143.046357615894,30.8571428571429
"133","Mukesh Kumar",0.237048381419966,44.0909989441137,197,0.256686035975199,47.743602691387,10.5161290322581,0.278899478010476,0.398471342065753,8,159.89847715736,39.375
"134","TU Deshpande",0.130074984344115,44.3555696613433,368,0.110861251536965,37.8036867741052,9.92375366568915,-0.17949895597553,-0.133346235754289,21,145.923913043478,25.5714285714286
"135","Yash Dayal",0.532697464824049,44.7465870452202,88,0.415148603271256,34.8724826747855,11.7857142857143,1.13301551447239,1.50596833826442,2,182.954545454545,80.5
"136","Umran Malik",0.4631304624446,55.575655493352,124,0.399561222196775,47.947346663613,10.85,0.4278418129223,0.438622908081321,5,166.935483870968,41.4
